"","Value","S","K","tau","r","BS"
"59",403.375,1514.09,1150,0.550684931506849,0.0109,"Under"
"60",142,1494.73,1450,0.452054794520548,0.0109,"Under"
"61",169.5,1484.43,1325,0.0876712328767123,0.0111,"Under"
"62",30,1340.93,1400,0.178082191780822,0.0122,"Under"
"63",84,1366.42,1350,0.298630136986301,0.0119,"Under"
"64",18.375,1408.99,1700,0.693150684931507,0.0116,"Over"
"65",53.5,1500.59,1500,0.106849315068493,0.0109,"Under"
"66",120.125,1374.62,1275,0.0904109589041096,0.0119,"Under"
"67",131.75,1471.36,1375,0.2,0.0111,"Under"
"68",92,1424.24,1350,0.10958904109589,0.0114,"Under"
"69",13.5,1436.51,1550,0.213698630136986,0.0114,"Over"
"70",169,1449.68,1300,0.178082191780822,0.0112,"Under"
"71",158,1471.84,1350,0.347945205479452,0.0112,"Under"
"72",250,1346.09,1200,0.827397260273973,0.012,"Under"
"73",40.25,1484.43,1475,0.0876712328767123,0.0111,"Over"
"74",184.25,1315.19,1200,0.471232876712329,0.0124,"Under"
"75",149.625,1409.28,1275,0.126027397260274,0.0115,"Under"
"76",16.5,1442.39,1550,0.216438356164384,0.0113,"Over"
"77",221.375,1401.44,1200,0.0904109589041096,0.0116,"Under"
"78",434.25,1465.15,1100,0.923287671232877,0.0111,"Under"
"79",78.75,1426.69,1375,0.117808219178082,0.0115,"Under"
"80",14.75,1432.19,1550,0.205479452054795,0.0114,"Over"
"81",35.5,1401.53,1430,0.147945205479452,0.0116,"Over"
"82",329.75,1424.37,1100,0.117808219178082,0.0114,"Under"
"83",175,1484.91,1425,0.756164383561644,0.0111,"Under"
"84",6,1346.09,1600,0.328767123287671,0.012,"Over"
"85",36,1389.94,1395,0.0904109589041096,0.0117,"Under"
"86",39,1441.48,1500,0.232876712328767,0.0113,"Over"
"87",141.75,1493.87,1375,0.164383561643836,0.0109,"Under"
"88",152,1438.56,1375,0.432876712328767,0.0113,"Under"
"89",120,1441.48,1425,0.482191780821918,0.0113,"Under"
"90",151.5,1322.36,1200,0.161643835616438,0.0124,"Under"
"91",141.875,1314.95,1275,0.542465753424658,0.0124,"Under"
"92",55.5,1389.81,1400,0.180821917808219,0.0118,"Under"
"93",27.25,1312.15,1400,0.252054794520548,0.0125,"Over"
"94",35,1409.28,1425,0.104109589041096,0.0116,"Under"
"95",148.5,1383.05,1300,0.353424657534247,0.0118,"Under"
"96",560.5,1527.35,975,0.235616438356164,0.0106,"Under"
"97",263.75,1466.04,1275,0.586301369863014,0.0111,"Under"
"98",98.75,1374.17,1425,0.673972602739726,0.0119,"Under"
"99",82.25,1460.99,1450,0.219178082191781,0.0112,"Under"
"100",103.75,1430.83,1400,0.378082191780822,0.0115,"Under"
"101",67.5,1498.13,1475,0.164383561643836,0.011,"Under"
"102",153.375,1322.74,1200,0.167123287671233,0.0124,"Under"
"103",390.625,1480.88,1100,0.183561643835616,0.0111,"Under"
"104",98,1456.95,1425,0.271232876712329,0.0112,"Under"
"105",186.625,1402.05,1225,0.0876712328767123,0.0116,"Under"
"106",116.5,1527.46,1450,0.156164383561644,0.0106,"Under"
"107",98,1349.97,1400,0.663013698630137,0.0121,"Under"
"108",281,1424.37,1175,0.367123287671233,0.0114,"Under"
"109",156,1478.73,1350,0.254794520547945,0.011,"Under"
"110",417.375,1389.94,995,0.33972602739726,0.0117,"Under"
"111",146.5,1486,1475,0.742465753424657,0.011,"Under"
"112",59.875,1355.62,1450,0.528767123287671,0.012,"Under"
"113",87.125,1348.05,1450,0.8,0.012,"Under"
"114",25,1364.59,1400,0.104109589041096,0.012,"Under"
"115",272.375,1387.12,1150,0.347945205479452,0.0117,"Under"
"116",96,1465.15,1400,0.175342465753425,0.0111,"Under"
"117",648,1379.58,750,0.635616438356164,0.0119,"Under"
"118",390.375,1367.72,995,0.328767123287671,0.012,"Under"
"119",89.5,1374.62,1325,0.167123287671233,0.0119,"Under"
"120",85,1465.15,1600,0.923287671232877,0.0111,"Under"
"121",113.125,1359.15,1300,0.26027397260274,0.0119,"Under"
"122",239,1508.31,1300,0.312328767123288,0.0109,"Under"
"123",31,1464.46,1550,0.252054794520548,0.0111,"Over"
"124",125,1387.12,1300,0.0986301369863014,0.0117,"Under"
"125",59.5,1328.92,1345,0.219178082191781,0.0123,"Under"
"126",2,1400.14,1700,0.350684931506849,0.0117,"Over"
"127",60,1510.49,1475,0.0904109589041096,0.0109,"Over"
"128",231,1366.42,1200,0.547945205479452,0.0119,"Under"
"129",48,1416.83,1400,0.101369863013699,0.0114,"Over"
"130",116.25,1494.5,1425,0.271232876712329,0.011,"Under"
"131",3.375,1458.29,1900,0.715068493150685,0.0113,"Over"
"132",191.25,1500.64,1325,0.161643835616438,0.0108,"Under"
"133",209.25,1315.23,1175,0.53972602739726,0.0124,"Under"
"134",46,1334.22,1375,0.216438356164384,0.0123,"Under"
"135",50,1458.29,1475,0.216438356164384,0.0113,"Over"
"136",106,1383.62,1450,0.761643835616438,0.0117,"Under"
"137",197.625,1356.56,1225,0.424657534246575,0.012,"Under"
"138",372.75,1336.09,995,0.298630136986301,0.0122,"Under"
"139",11.375,1395.07,1550,0.271232876712329,0.0116,"Over"
"140",283.125,1441.72,1250,0.854794520547945,0.0112,"Under"
"141",62.5,1381.76,1350,0.120547945205479,0.0117,"Under"
"142",13.125,1402.03,1475,0.10958904109589,0.0117,"Over"
"143",214.375,1381.52,1250,0.561643835616438,0.0118,"Under"
"144",322.25,1364.9,1050,0.142465753424658,0.012,"Under"
"145",30,1508.52,1800,0.717808219178082,0.0107,"Over"
"146",141,1356.56,1400,0.673972602739726,0.012,"Under"
"147",62.5,1381.76,1355,0.120547945205479,0.0117,"Under"
"148",117.375,1409.17,1325,0.213698630136986,0.0115,"Under"
"149",79,1507.73,1515,0.221917808219178,0.0108,"Under"
"150",24.25,1447.8,1480,0.0849315068493151,0.0113,"Over"
"151",103.375,1449.05,1375,0.158904109589041,0.0114,"Under"
"152",140,1477.26,1500,0.789041095890411,0.011,"Under"
"153",12,1457.6,1525,0.10958904109589,0.0111,"Over"
"154",123.25,1438.56,1350,0.183561643835616,0.0113,"Under"
"155",146,1508.31,1400,0.312328767123288,0.0109,"Under"
"156",0.9375,1364.59,1750,0.180821917808219,0.012,"Under"
"157",60,1464.29,1450,0.147945205479452,0.0113,"Under"
"158",195,1457.6,1325,0.435616438356164,0.0111,"Under"
"159",28,1421.22,1550,0.372602739726027,0.0115,"Over"
"160",178.125,1415.1,1300,0.372602739726027,0.0115,"Under"
"161",396.875,1481.96,1100,0.161643835616438,0.0111,"Under"
"162",344,1424.24,1100,0.358904109589041,0.0114,"Under"
"163",140.125,1527.46,1425,0.156164383561644,0.0106,"Under"
"164",288.375,1472.87,1200,0.2,0.0112,"Under"
"165",22,1369.89,1450,0.271232876712329,0.0119,"Over"
"166",254,1466.04,1250,0.336986301369863,0.0111,"Under"
"167",113,1399.42,1350,0.202739726027397,0.0116,"Under"
"168",176,1444.51,1300,0.243835616438356,0.0114,"Under"
"169",448.625,1441.72,1050,0.854794520547945,0.0112,"Under"
"170",72,1422.45,1425,0.298630136986301,0.0115,"Under"
"171",181.375,1343.55,1225,0.523287671232877,0.0122,"Under"
"172",34,1482.8,1480,0.106849315068493,0.0111,"Over"
"173",92,1494.73,1500,0.452054794520548,0.0109,"Under"
"174",51,1406.95,1425,0.156164383561644,0.0116,"Under"
"175",0.34375,1438.56,1700,0.183561643835616,0.0113,"Over"
"176",1.75,1364.44,1550,0.13972602739726,0.012,"Over"
"177",246,1441.72,1200,0.106849315068493,0.0112,"Under"
"178",76.5,1426.57,1400,0.219178082191781,0.0116,"Under"
"179",83,1431.87,1400,0.202739726027397,0.0114,"Under"
"180",289.375,1424.17,1200,0.608219178082192,0.0115,"Under"
"181",45.75,1447.8,1700,0.832876712328767,0.0113,"Under"
"182",29.25,1446,1475,0.0904109589041096,0.0113,"Under"
"183",79.375,1402.03,1350,0.10958904109589,0.0117,"Under"
"184",35.5,1438.56,1465,0.106849315068493,0.0113,"Under"
"185",22.5,1460.25,1600,0.350684931506849,0.0113,"Over"
"186",122.125,1481.96,1375,0.0849315068493151,0.0111,"Under"
"187",30.625,1450.55,1625,0.471232876712329,0.0113,"Over"
"188",347.625,1481.96,1150,0.161643835616438,0.0111,"Under"
"189",280.75,1481.99,1250,0.50958904109589,0.0111,"Under"
"190",173.125,1374.17,1225,0.175342465753425,0.0119,"Under"
"191",47,1379.58,1380,0.136986301369863,0.0119,"Under"
"192",43,1343.55,1350,0.120547945205479,0.0122,"Under"
"193",385.375,1480.88,1150,0.682191780821918,0.0111,"Under"
"194",434.875,1402.11,975,0.2,0.0116,"Under"
"195",576.75,1487.92,950,0.715068493150685,0.0109,"Under"
"196",17.5,1305.95,1400,0.156164383561644,0.0125,"Under"
"197",4.375,1371.18,1500,0.106849315068493,0.0119,"Over"
"198",126.75,1505.97,1400,0.161643835616438,0.011,"Under"
"199",80,1409.57,1400,0.197260273972603,0.0116,"Under"
"200",187,1456.63,1350,0.493150684931507,0.0111,"Under"
"201",41.5,1469.44,1700,0.758904109589041,0.0111,"Over"
"202",121.75,1440.51,1425,0.427397260273973,0.0113,"Under"
"203",44,1322.74,1350,0.167123287671233,0.0124,"Under"
"204",46,1455.14,1470,0.164383561643836,0.0111,"Over"
"205",63,1449.62,1450,0.235616438356164,0.0114,"Over"
"206",50,1509.98,1510,0.175342465753425,0.0109,"Over"
"207",46.5,1305.6,1340,0.241095890410959,0.0125,"Under"
"208",145,1312.15,1200,0.252054794520548,0.0125,"Under"
"209",56.125,1389.81,1500,0.583561643835616,0.0118,"Under"
"210",29,1449.68,1500,0.178082191780822,0.0112,"Over"
"211",187.25,1364.59,1200,0.180821917808219,0.012,"Under"
"212",287.875,1441.47,1200,0.443835616438356,0.0112,"Under"
"213",77.375,1424.17,1450,0.358904109589041,0.0115,"Under"
"214",85.5,1449.05,1400,0.158904109589041,0.0114,"Under"
"215",97.625,1360.16,1350,0.386301369863014,0.0119,"Under"
"216",151.5,1477.26,1375,0.29041095890411,0.011,"Under"
"217",201,1527.46,1425,0.482191780821918,0.0106,"Under"
"218",178.875,1446.29,1325,0.375342465753425,0.0113,"Under"
"219",34,1409.12,1425,0.123287671232877,0.0115,"Over"
"220",74.625,1391.28,1400,0.282191780821918,0.0117,"Under"
"221",214,1403.45,1200,0.197260273972603,0.0116,"Under"
"222",18.375,1452.56,1500,0.120547945205479,0.0114,"Over"
"223",52.5,1505.97,1525,0.205479452054795,0.0108,"Over"
"224",11.125,1388.76,1600,0.408219178082192,0.0118,"Over"
"225",233.625,1424.37,1300,0.865753424657534,0.0114,"Under"
"226",83.75,1467.17,1450,0.180821917808219,0.0111,"Under"
"227",85,1387.67,1325,0.0849315068493151,0.0117,"Under"
"228",188.375,1502.51,1350,0.273972602739726,0.011,"Under"
"229",471.375,1424.97,975,0.36986301369863,0.0114,"Under"
"230",252.875,1527.46,1350,0.482191780821918,0.0106,"Under"
"231",4.5,1374.17,1500,0.0986301369863014,0.0119,"Over"
"232",37.25,1356.56,1700,0.923287671232877,0.012,"Under"
"233",219.5,1438.56,1350,0.931506849315068,0.0113,"Under"
"234",9.25,1424.24,1500,0.10958904109589,0.0114,"Over"
"235",200.5,1494.5,1325,0.271232876712329,0.011,"Under"
"236",91.5,1364.59,1375,0.43013698630137,0.012,"Under"
"237",58.5,1481.99,1450,0.106849315068493,0.0111,"Over"
"238",261.875,1402.05,1175,0.336986301369863,0.0116,"Under"
"239",174,1441.72,1400,0.854794520547945,0.0112,"Under"
"240",21.25,1487.37,1600,0.2,0.011,"Over"
"241",182,1460.25,1300,0.101369863013699,0.0113,"Under"
"242",31.5,1438.1,1650,0.624657534246575,0.0115,"Over"
"243",539.875,1315.19,800,0.471232876712329,0.0124,"Under"
"244",336.125,1409.12,1100,0.372602739726027,0.0115,"Under"
"245",176.75,1389.81,1300,0.583561643835616,0.0118,"Under"
"246",324.375,1507.73,1200,0.145205479452055,0.0108,"Under"
"247",58,1493.87,1495,0.241095890410959,0.0109,"Over"
"248",10.125,1371.18,1650,0.50958904109589,0.0119,"Over"
"249",37,1416.83,1450,0.178082191780822,0.0114,"Over"
"250",52.25,1341.77,1350,0.156164383561644,0.0122,"Under"
"251",177.875,1420.96,1300,0.347945205479452,0.0115,"Under"
"252",212.125,1516.35,1325,0.194520547945205,0.0108,"Under"
"253",208,1401.44,1200,0.167123287671233,0.0116,"Under"
"254",104,1383.05,1300,0.104109589041096,0.0118,"Under"
"255",76.5,1509.84,1500,0.298630136986301,0.0109,"Over"
"256",122.5,1502.51,1400,0.120547945205479,0.011,"Under"
"257",164.75,1441.61,1300,0.164383561643836,0.0113,"Under"
"258",29,1455.9,1470,0.0849315068493151,0.0111,"Over"
"259",49,1431.87,1425,0.106849315068493,0.0114,"Under"
"260",125.875,1457.84,1450,0.528767123287671,0.0112,"Under"
"261",88.875,1432.19,1375,0.10958904109589,0.0114,"Under"
"262",67,1402.11,1400,0.2,0.0116,"Under"
"263",165,1517.68,1475,0.791780821917808,0.0109,"Under"
"264",149,1469.44,1350,0.183561643835616,0.0111,"Under"
"265",118.875,1480.88,1375,0.106849315068493,0.0111,"Under"
"266",286.125,1432.25,1150,0.104109589041096,0.0113,"Under"
"267",25.75,1334.22,1425,0.216438356164384,0.0123,"Under"
"268",151.25,1347.35,1250,0.317808219178082,0.0121,"Under"
"269",118.75,1399.42,1375,0.452054794520548,0.0116,"Under"
"270",85,1374.62,1450,0.665753424657534,0.0119,"Under"
"271",5.25,1401.53,1525,0.147945205479452,0.0116,"Over"
"272",1.5,1359.99,1625,0.257534246575342,0.012,"Over"
"273",35.625,1355.62,1370,0.106849315068493,0.012,"Under"
"274",37.5,1372.32,1425,0.178082191780822,0.0119,"Under"
"275",341.125,1498.58,1200,0.463013698630137,0.0109,"Under"
"276",77,1475.95,1600,0.73972602739726,0.0111,"Under"
"277",78.5,1440.51,1425,0.178082191780822,0.0113,"Under"
"278",121,1479.85,1475,0.583561643835616,0.0111,"Under"
"279",43,1523.86,1550,0.147945205479452,0.0106,"Under"
"280",80.25,1424.17,1375,0.10958904109589,0.0115,"Under"
"281",37,1448.81,1475,0.120547945205479,0.0113,"Under"
"282",224,1527.46,1350,0.232876712328767,0.0106,"Under"
"283",0.46875,1388.76,1750,0.158904109589041,0.0118,"Under"
"284",124.875,1341.77,1275,0.30958904109589,0.0122,"Under"
"285",6.5,1427.47,1525,0.0849315068493151,0.0114,"Over"
"286",240.75,1383.62,1200,0.512328767123288,0.0117,"Under"
"287",375,1468.25,1100,0.128767123287671,0.0111,"Under"
"288",8.5,1420.6,1550,0.123287671232877,0.0115,"Under"
"289",58.625,1322.36,1425,0.564383561643836,0.0124,"Under"
"290",84.875,1356.56,1475,0.673972602739726,0.012,"Under"
"291",42,1365.98,1390,0.0986301369863014,0.012,"Under"
"292",178.5,1460.99,1350,0.391780821917808,0.0112,"Under"
"293",268.25,1383.62,1200,0.761643835616438,0.0117,"Under"
"294",337.125,1360.16,1050,0.386301369863014,0.0119,"Under"
"295",92.5,1469.44,1400,0.0876712328767123,0.0111,"Under"
"296",156.5,1436.51,1350,0.463013698630137,0.0114,"Under"
"297",60,1366.42,1350,0.126027397260274,0.0119,"Under"
"298",8,1455.14,1525,0.0876712328767123,0.0111,"Over"
"299",62,1448.72,1450,0.232876712328767,0.0114,"Over"
"300",192.5,1520.77,1350,0.213698630136986,0.0108,"Under"
"301",59,1274.86,1350,0.484931506849315,0.0128,"Under"
"302",141,1469.44,1375,0.26027397260274,0.0111,"Under"
"303",232.375,1382.95,1225,0.586301369863014,0.0118,"Under"
"304",9.25,1387.02,1525,0.183561643835616,0.0118,"Over"
"305",82.5,1408.99,1350,0.117808219178082,0.0116,"Under"
"306",86.375,1438.1,1375,0.126027397260274,0.0115,"Under"
"307",22,1440.51,1550,0.178082191780822,0.0113,"Under"
"308",283.625,1434.54,1225,0.657534246575342,0.0114,"Under"
"309",55,1342.13,1350,0.161643835616438,0.0122,"Under"
"310",109.25,1432.19,1400,0.358904109589041,0.0114,"Under"
"311",226.5,1509.84,1300,0.145205479452055,0.0109,"Under"
"312",54.5,1432.63,1425,0.117808219178082,0.0114,"Under"
"313",337.25,1527.46,1250,0.482191780821918,0.0106,"Under"
"314",189,1437.21,1400,0.83013698630137,0.0114,"Under"
"315",423.875,1411.71,1050,0.852054794520548,0.0115,"Under"
"316",43.25,1427.47,1460,0.161643835616438,0.0114,"Under"
"317",14.875,1364.59,1475,0.180821917808219,0.012,"Over"
"318",82.75,1380.2,1325,0.10958904109589,0.0119,"Under"
"319",41.75,1406.95,1500,0.328767123287671,0.0116,"Under"
"320",4.5,1264.74,1395,0.0849315068493151,0.0129,"Under"
"321",263.25,1336.09,1100,0.298630136986301,0.0122,"Under"
"322",39.75,1436.23,1475,0.205479452054795,0.0114,"Over"
"323",60.25,1402.03,1400,0.186301369863014,0.0117,"Under"
"324",115,1465.81,1375,0.175342465753425,0.0113,"Under"
"325",115,1457.6,1375,0.186301369863014,0.0111,"Under"
"326",40,1387.12,1390,0.0986301369863014,0.0117,"Under"
"327",21.5,1389.94,1425,0.0904109589041096,0.0117,"Over"
"328",254.125,1400.14,1150,0.101369863013699,0.0117,"Under"
"329",62,1465.81,1550,0.501369863013699,0.0113,"Under"
"330",223.125,1448.81,1300,0.542465753424658,0.0113,"Under"
"331",78.875,1312.15,1275,0.175342465753425,0.0125,"Under"
"332",110,1449.05,1425,0.484931506849315,0.0114,"Under"
"333",115.875,1410.03,1425,0.643835616438356,0.0115,"Under"
"334",106,1455.31,1525,0.723287671232877,0.0112,"Under"
"335",326,1467.17,1150,0.180821917808219,0.0111,"Under"
"336",51.125,1364.59,1525,0.67945205479452,0.012,"Under"
"337",73.625,1334.22,1325,0.216438356164384,0.0123,"Under"
"338",331.75,1449.68,1150,0.427397260273973,0.0112,"Under"
"339",166.25,1428.32,1275,0.120547945205479,0.0115,"Under"
"340",142.875,1440.51,1450,0.676712328767123,0.0113,"Under"
"341",157.5,1449.62,1400,0.638356164383562,0.0114,"Under"
"342",9.25,1342.13,1700,0.66027397260274,0.0122,"Over"
"343",82,1364.9,1350,0.238356164383562,0.012,"Under"
"344",133.125,1461.67,1350,0.101369863013699,0.0112,"Under"
"345",21,1396.93,1475,0.156164383561644,0.0117,"Over"
"346",357.25,1429.4,1100,0.375342465753425,0.0114,"Under"
"347",113.5,1458.29,1375,0.216438356164384,0.0113,"Under"
"348",50,1426.46,1470,0.202739726027397,0.0115,"Under"
"349",39,1474.47,1485,0.145205479452055,0.0112,"Over"
"350",56.5,1322.74,1300,0.0904109589041096,0.0124,"Under"
"351",271.75,1450.55,1200,0.221917808219178,0.0113,"Under"
"352",208.375,1420.6,1225,0.123287671232877,0.0115,"Under"
"353",103,1452.42,1400,0.238356164383562,0.0114,"Under"
"354",221,1464.47,1250,0.175342465753425,0.0111,"Under"
"355",81,1464.47,1450,0.252054794520548,0.0111,"Under"
"356",160,1404.09,1400,0.89041095890411,0.0115,"Under"
"357",48,1379.58,1385,0.136986301369863,0.0119,"Under"
"358",155.125,1464.29,1475,0.895890410958904,0.0113,"Under"
"359",376.625,1479.32,1125,0.358904109589041,0.0111,"Under"
"360",42,1400.14,1390,0.101369863013699,0.0117,"Over"
"361",26,1482.8,1550,0.202739726027397,0.0111,"Over"
"362",171,1424.37,1400,0.865753424657534,0.0114,"Under"
"363",13.5,1365.98,1500,0.194520547945205,0.012,"Under"
"364",238.375,1523.86,1350,0.473972602739726,0.0106,"Under"
"365",24.25,1409.57,1475,0.120547945205479,0.0116,"Under"
"366",129,1478.73,1500,0.753424657534247,0.011,"Under"
"367",64,1445.57,1500,0.408219178082192,0.0112,"Under"
"368",120.625,1334.22,1400,0.964383561643836,0.0123,"Under"
"369",23.375,1429.4,1475,0.126027397260274,0.0114,"Over"
"370",286.375,1371.18,1100,0.106849315068493,0.0119,"Under"
"371",103.125,1452.43,1500,0.635616438356164,0.0112,"Under"
"372",169.625,1409.17,1275,0.29041095890411,0.0115,"Under"
"373",109.5,1472.87,1550,0.852054794520548,0.0112,"Under"
"374",0.46875,1329.78,1750,0.178082191780822,0.0123,"Under"
"375",135.5,1392.14,1350,0.506849315068493,0.0116,"Under"
"376",114,1464.92,1425,0.389041095890411,0.0111,"Under"
"377",105.5,1505.97,1425,0.161643835616438,0.011,"Under"
"378",130.75,1383.05,1325,0.353424657534247,0.0118,"Under"
"379",313.375,1498.13,1200,0.164383561643836,0.011,"Under"
"380",147.125,1507.73,1525,0.72054794520548,0.0108,"Under"
"381",38,1424.37,1430,0.117808219178082,0.0114,"Over"
"382",163,1449.05,1450,0.983561643835616,0.0114,"Under"
"383",54,1420.6,1425,0.123287671232877,0.0115,"Under"
"384",423.875,1508.52,1150,0.717808219178082,0.0107,"Under"
"385",0.28125,1264.74,1700,0.238356164383562,0.0129,"Under"
"386",54.75,1436.51,1425,0.136986301369863,0.0114,"Under"
"387",50.5,1498.58,1525,0.136986301369863,0.0109,"Under"
"388",71.5,1466.04,1450,0.164383561643836,0.0111,"Under"
"389",93.75,1452.43,1390,0.136986301369863,0.0112,"Under"
"390",64.25,1448.81,1550,0.542465753424658,0.0113,"Under"
"391",251.75,1452.36,1275,0.589041095890411,0.0112,"Under"
"392",50,1388.26,1400,0.158904109589041,0.0117,"Under"
"393",23.5,1471.36,1700,0.526027397260274,0.0111,"Over"
"394",61,1502.51,1475,0.120547945205479,0.011,"Over"
"395",185,1509.84,1350,0.221917808219178,0.0109,"Under"
"396",221.5,1486,1325,0.493150684931507,0.011,"Under"
"397",62.5,1387.02,1450,0.432876712328767,0.0118,"Under"
"398",100.5,1274.86,1225,0.235616438356164,0.0128,"Under"
"399",29.5,1424.97,1450,0.120547945205479,0.0114,"Over"
"400",293.5,1410.03,1150,0.394520547945205,0.0115,"Under"
"401",86,1399.42,1400,0.202739726027397,0.0116,"Under"
"402",271.625,1342.62,1100,0.320547945205479,0.0122,"Under"
"403",139.5,1420.96,1400,0.597260273972603,0.0115,"Under"
"404",71.375,1336.09,1350,0.298630136986301,0.0122,"Under"
"405",105,1510.49,1500,0.416438356164384,0.0109,"Under"
"406",35.5,1401.53,1430,0.147945205479452,0.0116,"Over"
"407",64,1494.73,1495,0.202739726027397,0.0109,"Under"
"408",241,1379.58,1150,0.136986301369863,0.0119,"Under"
"409",16.375,1349.97,1450,0.164383561643836,0.0121,"Under"
"410",560,1454.6,900,0.213698630136986,0.0113,"Under"
"411",90.625,1340.93,1275,0.101369863013699,0.0122,"Under"
"412",235.75,1419.89,1225,0.386301369863014,0.0116,"Under"
"413",163,1449.68,1350,0.427397260273973,0.0112,"Under"
"414",113,1315.19,1300,0.471232876712329,0.0124,"Under"
"415",269.5,1374.62,1150,0.416438356164384,0.0119,"Under"
"416",84.125,1401.69,1450,0.523287671232877,0.0116,"Under"
"417",92.375,1491.56,1450,0.33972602739726,0.0111,"Over"
"418",66.5,1420.96,1390,0.0986301369863014,0.0115,"Under"
"419",153.75,1454.6,1325,0.213698630136986,0.0113,"Under"
"420",167.375,1492.25,1350,0.2,0.0111,"Under"
"421",226,1353.43,1200,0.561643835616438,0.012,"Under"
"422",58,1478.73,1475,0.178082191780822,0.011,"Over"
"423",364.75,1409.28,1050,0.126027397260274,0.0115,"Under"
"424",123,1475.62,1500,0.684931506849315,0.0112,"Under"
"425",61.125,1383.05,1600,0.852054794520548,0.0118,"Under"
"426",48.375,1322.74,1370,0.243835616438356,0.0124,"Under"
"427",8.5,1419.89,1525,0.136986301369863,0.0116,"Over"
"428",165.75,1458.47,1325,0.254794520547945,0.0111,"Under"
"429",103,1491.72,1450,0.328767123287671,0.0111,"Under"
"430",24,1444.51,1500,0.167123287671233,0.0114,"Over"
"431",172.5,1395.07,1350,0.76986301369863,0.0116,"Under"
"432",81,1264.74,1250,0.161643835616438,0.0129,"Under"
"433",101,1479.13,1425,0.238356164383562,0.011,"Under"
"434",30.25,1400.72,1700,0.819178082191781,0.0117,"Under"
